id,content,messageType,createAt,conversationId,aditional_id
245,ok me comunico ,agent,2025-08-09 12:49:15.112-04,29,6RR8FHTJWZRZ3UZVJYWU
246,Oka,user,2025-08-09 12:52:20.378-04,29,01EK82MGZUI6RJM5Z7DN
247,", la dirección y referencias son:
*Huérfanos 835, Piso 19. Santiago Centro.*
Estaciones de Metro cercanas a la oficina: 
	
•	*Línea 5: Estación Plaza de Armas.*
•	*Línea 1: Estación Universidad de Chile.* 

A modo Referencia: 
Estamos frente al nuevo Mall Vivo que se encuentra en huérfanos. Esto se encuentra entre Calle Estado y San Antonio. Si tiene dudas se puede comunicar conmigo por este canal directo o al 228409000 y pregunte por *Ivonne Hidalgo*
",agent,2025-08-09 13:03:33.788-04,29,CNDHJM3ARNNE1PGCK085
248,te contactatare a traves de mi numero personal ,agent,2025-08-09 13:06:09.971-04,29,8C3ZA6PA8IHQA0NKT8QH
249,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 08:49:49.972-04,30,N2UKD0PWJF8T5JFOX20J
250,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 08:49:50.279-04,30,SR5YNDFNESRL48X2YA7Q
251,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 08:49:51.579-04,30,52NTP142RV6QIQSNVPMJ
252,Hola buenos días ,agent,2025-08-09 12:28:57.371-04,30,5L61CPFHC1NXKIJUYI17
253,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:29:30.751-04,30,E5XR6DKFX0RZIUPLDK5E
254,requieres orientación por deudas ?,agent,2025-08-09 12:29:38.557-04,30,7M4AKKI1OCUJJVDUM8KG
255,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 09:20:53.392-04,31,TCMYMBL2HX1NHL0286OY
256,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 09:20:53.566-04,31,GR21BOJW8CKXW1MQP1CL
257,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 09:20:55.032-04,31,5W0IWU2Y7FPUM10EGB63
258,Sobre todo lo relacionado con prescripcion de hipotecarios,user,2025-08-09 09:21:05.718-04,31,1SAF2DGC252X6X00MNS7
259,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:11:08.555-04,31,E6ZL1J15YAFQ8ZCDKTCD
260,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 09:36:46.466-04,32,EHGPDOTYG4NO1YJVHWG5
261,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 09:36:46.505-04,32,EVXQ1KSXM1EZ0714SC7D
262,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 09:36:47.544-04,32,B8UIOWMJZAICTNMBZOU8
263,Hola buenos días ,agent,2025-08-09 12:26:55.815-04,32,Y8CAJ7ZUNR03YJ4N5GVQ
264,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:27:02.194-04,32,LVWRPRMTCNTMZ6RP0UCR
265,requieres orientación por deudas ?,agent,2025-08-09 12:43:39.543-04,32,HS8JTVIBB4JFN1DZXRBH
266,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 09:51:39.188-04,33,637FTA01JI6RT8SPJZIE
267,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 09:51:39.217-04,33,4BND68OHA6PFA7O2JXKI
268,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 09:51:39.992-04,33,LU48H2E2DT6V1KMZVL43
269,Hola buenos días ,agent,2025-08-09 12:26:32.034-04,33,7GLAKHGGH37B6X4Y8K48
270,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:26:37.438-04,33,OU10ICQDFTVOYTLDCCMC
271,requieres orientación por deudas ?,agent,2025-08-09 12:26:47.439-04,33,F2YF7FM6S15IXMY8ZUL1
272,Hola,user,2025-08-09 10:12:07.713-04,34,TWTP13LOWFLW8I3H8MQR
273,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 10:12:07.796-04,34,GD0P4OM8ZJOTJG2E85SO
274,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 10:12:08.764-04,34,Z4V8OJHN8H6LN0LU7MX6
275,Quiero acer unas consulta,user,2025-08-09 10:12:42.566-04,34,0HHZXEYSN1F4Y15KNWLO
276,Quiero que me ayuden,user,2025-08-09 11:15:14.531-04,34,6E7HE2ZU6IWFTZ7L01HL
277,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 11:15:14.804-04,34,Y65JXE1A48AESIPGSCT7
278,Hola buenos días ,agent,2025-08-09 12:17:54.479-04,34,GUXIKDX5JG73V8HUQ3B7
338,Hola,user,2025-08-09 16:37:41.939-04,40,VCHZKUQ200PELZHTY2JP
279," junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:17:58.373-04,34,VCMOE4O68VHOB1XARR2Z
280,requieres orientación por deudas ?,agent,2025-08-09 12:18:04.304-04,34,GNF7AC54Q1OKGLFIV2F1
281,Si,user,2025-08-09 12:18:26.937-04,34,JLI4EQLWOM01EK1KMO23
282,https://conocetudeuda.cmfchile.cl/informe-deudas/622/w3-contents.html,agent,2025-08-09 12:18:55.26-04,34,A4C1B5G5SV3WVK6Z0B66
283,"puedes descargar este informe es sin costo, lo descargas con tu rut y clave unica !",agent,2025-08-09 12:19:15.315-04,34,H2FZ5KQ73UV8YN6FBKTD
284,y agendamos un llamado ,agent,2025-08-09 12:19:25.871-04,34,0QJZ43KHL2MMLPZNSN50
285,Bueno,user,2025-08-09 12:19:56.003-04,34,ZRSUWXNCZGA8HVW1SG5L
286,El lune le escribo,user,2025-08-09 12:20:08.24-04,34,FXKXNGMN4HKP8VKDBL81
287,No tengo la clave unica,user,2025-08-09 12:20:21.605-04,34,XGS5XDLSCYQ4SBRPLMMN
288,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 10:21:07.377-04,35,30PP5YT0WZ0KIQLDZDQ8
289,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 10:21:07.421-04,35,LSU2AXFQSSW8YZBX36IB
290,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 10:21:08.452-04,35,I620JROY0MXTCD0PZ0VC
291,Ok,user,2025-08-09 11:09:41.029-04,35,LXOJN2ANG31RHIL1YIIW
292,Hola Gabriel buenos días. ,agent,2025-08-09 12:24:25.545-04,35,NCU1BU1P2YN8OLIEF4CP
293,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:24:29.859-04,35,64XADLHBNCXVAE3MIFCC
294,Hola,user,2025-08-09 12:24:43.879-04,35,JHA20LY451MK8DBSS50Z
295,Buen día,user,2025-08-09 12:24:45.312-04,35,Y7CTRO7WZOKP8D7VL4DA
296,requieres orientación por deudas ?,agent,2025-08-09 12:25:17.051-04,35,F50J4UZLB2PP5B2FHKQF
297,Si,user,2025-08-09 12:25:41.315-04,35,YKUNW4JHTGEQ5ON4QK0X
298,"Con Falabella tarjeta cmr 4.9millones  atrasada + 90 días 
Con Hites tarjeta comercial 1.2millones atrasada + 90 días 
Con Santander ttdc 1.4millones al día 
Automotriz forum 9millones al día",user,2025-08-09 12:25:47.978-04,35,PKK4BQJTA5CYQNRCATNC
299,Estas son mis deudas,user,2025-08-09 12:25:53.084-04,35,O5308TLQBCL27XHQJINQ
300,te puedo llamar ?,agent,2025-08-09 12:26:21.496-04,35,KX1AWUNW8E6KIQCZP4L0
301,Si,user,2025-08-09 12:26:33.326-04,35,50IFV8XI2KZISR5DYRWP
302,"la dirección y referencias son:
*Huérfanos 835, Piso 19. Santiago Centro.*
Estaciones de Metro cercanas a la oficina: 
	
•	*Línea 5: Estación Plaza de Armas.*
•	*Línea 1: Estación Universidad de Chile.* 

A modo Referencia: 
Estamos frente al nuevo Mall Vivo que se encuentra en huérfanos. Esto se encuentra entre Calle Estado y San Antonio. Si tiene dudas se puede comunicar conmigo por este canal directo o al 228409000 y pregunte por *Ivonne Hidalgo*
",agent,2025-08-09 12:52:00.261-04,35,U40OIWWTKME3SB8DXR2C
303,"*Datos Reunión:*

Día: LUNES 11 DE AGOSTO 
HORA 17:00",agent,2025-08-09 12:54:09.154-04,35,P3H7NGXXUD4K7RDI4QJJ
304,Hola buenos dias,user,2025-08-09 10:53:56.048-04,36,JYQP1ZD6FOYOKZRRDKHO
305,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 10:53:56.126-04,36,1CJ3RT3GD8R6UVBSL4CN
306,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 10:53:57.308-04,36,C0NXTCE7JPM008MZZHLS
307,"Hola buenos días 
",agent,2025-08-09 12:34:43.303-04,36,O4OZM5GQKJMZD6QM5URW
308,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:34:47.325-04,36,VVDR733KFPEI6LRS1Z5S
309,requieres orientación por deudas?,agent,2025-08-09 12:34:56.324-04,36,7DVE5B865ED2GN2YKYD8
310,Hola Ivonne buemas tardes si necesito informacion u orientacion x deudas,user,2025-08-09 15:12:27.53-04,36,L3P3Y6Y3B86SFVRSDHMI
311,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 08:38:54.498-04,36,FZ6Z3Y7K2BPOL0A6SO47
312,Hola,user,2025-08-09 12:52:09.668-04,37,YNSKGCOLPT24JNEVKVLL
313,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 12:52:09.757-04,37,IGCQ8DV7BNAFN558MF7N
314,Tengo una deuda con el banco,user,2025-08-09 12:52:24.08-04,37,WRLGNH0TTWPRYYYVU7DW
315,Y quiserea saber si puedo acogerme a la ley 20720,user,2025-08-09 12:52:38.331-04,37,64G63BF2T2WU4ZL0ZF5A
316,Hola buenos días,agent,2025-08-09 12:52:49.733-04,37,PDVJ3MOWKJ3RQZN5MKLV
317,"junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 12:54:28.437-04,37,TWHHI7WUYXE5QO4ZE8NG
318,https://conocetudeuda.cmfchile.cl/informe-deudas/622/w3-contents.html,agent,2025-08-09 12:54:34.042-04,37,G64L6K1VAQAT50ZJLVI1
319,"me adjuntas este informe con tu rut y clave unica, es sin costo !",agent,2025-08-09 12:54:43.534-04,37,JX2PV5REVNFWOI7O8GOI
320,me lo envias y coordinamos un llamaod !,agent,2025-08-09 12:54:50.513-04,37,Z2HVXZ2M0DWH6L5TR6OA
321,"",user,2025-08-09 13:02:36.363-04,37,LA7NAZPI4XRV611G6ZL0
322,Eso es lo que aparece,user,2025-08-09 13:02:43.715-04,37,57ICKDJQ3ILGJPYXXD6L
323,Es de mi marido,user,2025-08-09 13:02:50.559-04,37,VXFEQF3XPCXZYMYMN2UG
324,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 14:28:00.004-04,38,3Q6KMLDP2DDIOIJXWFVK
325,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 14:28:00.093-04,38,IDB21E86K5ISWI75E0NU
326,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 14:28:01.123-04,38,FR7GFNINOYXDUPCHU4RN
327,"Hola buenas tardes, junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 16:30:48.275-04,38,ULB2WQMX0CUGQRTQCI2K
328,requieres orientación por deudas?,agent,2025-08-09 16:30:56.2-04,38,C3GCYRX8RH8FVPBGG5AR
329,Hola si,user,2025-08-09 17:07:20.705-04,38,51C5Y2345PNLK7GBK0F3
330,"Por Movistar, me mandó a dicon y quería asesoría si ellos pueden hacer eso ?",user,2025-08-09 17:07:57.448-04,38,AYXFRKQFNMK0ZP4PV7BU
331,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 14:48:39.499-04,39,24L3GY7288RQCGJT2XCQ
332,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 14:48:39.557-04,39,372AEHS16LI7U5Y7PE18
333,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 14:48:40.765-04,39,76R01KJDR0BA6QH7YF6N
334,"Hola buenas tardes, junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-09 16:31:04.365-04,39,BRWP3L2TYV7CBFOWXBN2
335,requieres orientación por deudas?,agent,2025-08-09 16:31:14.774-04,39,KHBD2N0HNFFJVLJRUPXF
336,Hola,user,2025-08-09 17:04:52.166-04,39,VPXTR58PXRSIO3Q86Q0N
337,Si necesito orientacion y buscar alguna solucion para deudas que tengo,user,2025-08-09 17:05:33.303-04,39,O6LJSJ6USM5FZMLPNJJI
339,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 16:37:42.028-04,40,DBSJ7B4TGBW51WYJZKOP
340,Quisiera hacer una consulta,user,2025-08-09 16:37:57.326-04,40,W0S7FPZC7NGDMP71NVN2
341,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:07:08.754-04,40,NCWVU3SA2652516O8VZ0
342,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-09 20:01:40.88-04,41,Z3IEC2IIUW1LHTGIM0TP
343,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-09 20:01:40.978-04,41,ET6FR1WM07DAWRO5W8CB
344,Te asignaremos un Asesor en breves momentos,bot,2025-08-09 20:01:42.254-04,41,5J74N1T5PWQK56AV2BNZ
345,Necesito asesoria,user,2025-08-09 20:01:56.139-04,41,TIFSG0ENEX63HIJ0OYL8
346,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 08:51:45.95-04,41,XS3J3ME7DUNU0ZN54WZ4
347,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 00:35:58.386-04,42,T4TITH7TCFA1IU5BUJ8F
348,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 00:35:58.796-04,42,4LQFU8D3PJ5MFPU4M2HQ
349,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 00:36:00.709-04,42,ZOVEWK28T10Q8ZHFEND5
350,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:06:43.846-04,42,PPZNYTJN066BGOZNZB41
351,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 02:23:32.907-04,43,TG4MSO3TDUP33SPXE5TS
352,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 02:23:33.049-04,43,TFRFWOI5WL0N7ZZWOSE2
353,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 02:23:34.573-04,43,IVPL06W5Q2VC806W6UYE
354,gracias,user,2025-08-10 02:24:07.031-04,43,Y3232DSMKKR51WWFJ337
355,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:06:37.82-04,43,QTY7TZY028C1RLRYG054
356,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 02:59:34.868-04,44,MM7BQVSWMJFI632D38JF
357,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 02:59:34.963-04,44,K6MXSVGGWAA6EJRVHTYW
358,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 02:59:36.429-04,44,CC1TCU4WLHY8N5UMAOQA
359,Tengo una deuda y quiero solucionar,user,2025-08-10 03:00:13.359-04,44,CIUGBZFBD64ZF5AIY5YU
360,K necesito para pedir ayuda,user,2025-08-10 03:00:30.14-04,44,ZRQN76RHDOSBZDYD0UIU
361,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 03:00:30.452-04,44,QAMBZK5GN5GXU16DKTKK
362,Ok,user,2025-08-10 03:00:44.951-04,44,07JPZIDO18VG8QSTW3X3
363,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:06:27.627-04,44,73SI6VH43L6SI6EVPYKL
364,Hola buenas tardes,user,2025-08-11 16:56:05.918-04,44,VXO4RNTLZNJXRPZ7ZAHS
365,Hola buenas tardes Felipe ,agent,2025-08-11 16:59:21.441-04,44,ZKAU2ZESWJKMCXM55NS1
366,un gusto .,agent,2025-08-11 16:59:23.983-04,44,S1AOJRULQ3BZ1MOLYNF5
367,con quien tienes deuda y cuanto es el valor adeudado aprox ?,agent,2025-08-11 16:59:43.833-04,44,TQY12SJLXP2HEAFRJO5E
368,?,agent,2025-08-11 17:48:48.366-04,44,PAL655TW80HSEHIUMON2
369,Que tipo de deudas ayudan a resolver,user,2025-08-11 18:25:39.52-04,44,1IFZXUPQ324K2VUZSOM4
370,deudas comerciales ,agent,2025-08-12 10:24:11.758-04,44,6P7XEIJL4E1QDGRWVZP7
371,con quien tienes deuda ?,agent,2025-08-12 10:25:10.796-04,44,O6OVMW05XIP64SGZ3AX5
372,????????,agent,2025-08-12 14:26:22.75-04,44,R8JB4O2LF1PKKWI3V5NN
373,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 06:49:54.433-04,45,POFR4D3WLE42MTQBWMIV
374,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 06:49:54.533-04,45,RC1NUM1CDTP8SOCYP48Z
375,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 06:49:56.004-04,45,IZX0QQVAVS7FIVX3DOX5
376,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:06:18.6-04,45,1KU25C8GT5ZZARHC220X
377,Buenos días. Dirección por favor?,user,2025-08-11 09:32:42.442-04,45,HT6EBYSRPGIQZ3DOTO4N
378,Hola buenos días ,agent,2025-08-11 09:35:15.785-04,45,TCUSORCI2MTWVQ4FWQIK
379," junto con saludar cordialmente, te comento que mi nombre es Ivonne Hidalgo, soy asesora legal de ⚖Deudas.CL⚖",agent,2025-08-11 09:35:20.192-04,45,XGOQHUDF0RQ7VHLXQPRG
380,requieres orientación por deudas ?,agent,2025-08-11 09:35:28.243-04,45,38Y0QIYMJ1FJJHCWRMIY
381,?,agent,2025-08-11 09:51:16.063-04,45,AYEFEX7CBF5H76XI2RXI
382,"Hola Buen día, vi su anuncio de atencion 24/7, recibí ayer sábado la notificación de demanda de banco BCI por atraso en un crédito hipotecario, pero que actualmente está al día…..me preocupe mucho, porq sale una fecha de mañana lunes…….será posible conversar con Alguien de ustedes? Gracias",user,2025-08-10 08:20:29.312-04,46,SXBKFJQ4JUILQ4OYI62H
383,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 08:20:29.682-04,46,PHK1Z4LNDD4TPZ1QA4S3
384,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 08:20:30.927-04,46,OCYYXMYWEBNMWQBDZ3GY
385,Gracias estaré atento,user,2025-08-10 08:26:01.094-04,46,40U4HOR1ONUXZZJ0EFGZ
386,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:05:50.277-04,46,AUTO1ETJEYIOJ51ZCISO
387,Buenos días,user,2025-08-10 08:37:19.976-04,47,3ZNPPL4SH87RHVK6L7J8
388,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 08:37:20.002-04,47,KN2P17GULREYOUEWRKQ7
389,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 08:37:22.897-04,47,HNQO5TQOPCRLQUBDEZ7B
390,Tengo una deuda con mi Cmr de 6 millones y tengo hasta el 1 de septiembre para regularizar o me cobrarán todo. Mi cuota más atrasada es de febrero de este año. Estoy cesante,user,2025-08-10 08:38:46.34-04,47,3OLMOFYY1CG5GMQ1UWOX
391,"Template:

¡Hola! 👋👋 Agradecemos tu espera. Ya estamos en línea nuevamente, ¿en qué podemos ayudarte?
",agent,2025-08-11 09:05:11.309-04,47,XNKAR0RXOWV6M1L7Z4QT
392,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 09:13:02.46-04,48,6WTT50RQCRXT2JX8S5BC
393,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 09:13:02.54-04,48,QCI1YHEO1UU13RT0GM1T
394,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 09:13:03.555-04,48,IZQRRGUX2P471B0YZ75S
395,"Buenos dias, soy Kay Gómez asesora legal de deudas.cl",agent,2025-08-11 08:52:50.233-04,48,1ZZYJU3RZY7QYAU0D8AE
396,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 12:48:31.287-04,49,OFCNJIPD5IUN8MT7DRXO
397,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 12:48:31.485-04,49,B8TKU8RIAGRP4FGZPWWZ
398,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 12:48:32.58-04,49,5GL1PG4IY7OFJ3L8DKOY
399,"Buen día, habla Cristóbal Serón, asesor Legal. Me indica su nombre por favor y cuál es su consulta",agent,2025-08-11 09:29:00.306-04,49,WM8370OCIRW78SVKLE34
400,Hola buenas,user,2025-08-11 12:34:57.097-04,49,IV4P83NO5P8U64QVQYGH
401,Denisse Peralta,user,2025-08-11 12:35:00.336-04,49,TTMBCO5AZPUKI3G18GZK
402,Tengo deudas arriba de 2 millones en tarjetas de crédito,user,2025-08-11 12:35:17.154-04,49,NK65CO2R44JM866GAKSJ
403,"https://conocetudeuda.cmfchile.cl/informe-deudas/622/w3-contents.html
puede bajar un informe desde la CMF con su clave única",agent,2025-08-11 12:35:23.834-04,49,6TPK7C1KXX84I66FA1SW
404,"Hola Denisse, me ayudas con ese informe de deudas o si tienes algun otro igual sirve",agent,2025-08-11 12:35:47.221-04,49,KH4ESC6HXIAYEFDW21TU
405,"Hola, Necesito orientación jurídica a la brevedad posible.",user,2025-08-10 13:25:22.248-04,50,O4JP8SJQV466RMG46MHV
406,"¡Bienvenido! Bienvenido a Deudas.cl 🤝, ¿Cómo te podemos ayudar?",bot,2025-08-10 13:25:22.335-04,50,QKATHNEPD0K3LKVUTX6E
407,Te asignaremos un Asesor en breves momentos,bot,2025-08-10 13:25:23.692-04,50,QKFEH3EZUVJTCEEE4SRP
408,"Hola mi nombres es Juan Carlos.

Lo que pasa es que debo aprox 20 millones en deudas solamente en cencosud.. no tengo como pagarlos me podría ayudar con el tema si me conviene o no tirarme a quiebra",user,2025-08-10 13:26:32.602-04,50,U2FJO2PD8805QWHBFFGZ
409,Hola  Juan Carlos buen día !,agent,2025-08-11 08:41:15.38-04,50,F47N821I6H36GZT5YYUS
